instance,BKS,time_limit,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,mean,std,best,gap%
MS1d,170.909,0,170.908,170.908,170.908,170.908,170.908,170.908,170.908,170.908,170.908,170.908,170.908,0.000,170.908,-0.00
MS2d,130.800,0,159.072,160.245,159.072,159.072,159.072,159.072,159.072,159.072,159.072,159.268,159.209,0.369,159.072,21.72
MS3d,238.973,0,260.364,259.213,261.671,256.731,269.332,263.842,258.750,265.126,256.731,256.731,260.849,4.191,256.731,9.15
MS4d,479.676,0,585.236,569.423,595.280,594.211,577.511,587.567,587.495,579.065,557.654,572.801,580.624,11.750,557.654,21.05
MS5d,315.889,0,365.820,350.792,378.446,372.380,372.380,383.203,375.061,377.151,370.730,372.380,371.834,8.773,350.792,17.71
MS6d,82.187,0,82.187,82.187,82.187,82.187,82.187,82.187,82.187,82.187,82.187,82.187,82.187,0.000,82.187,-0.00
MS7d,189.016,0,189.017,189.017,189.017,189.017,189.632,189.632,189.632,189.632,189.017,189.017,189.263,0.318,189.017,0.13
MS8d,217.383,0,238.964,244.944,237.072,238.281,240.141,226.239,240.121,239.105,238.525,232.395,237.579,5.040,226.239,9.29
MS9d,152.504,0,167.437,164.539,166.701,170.084,170.084,169.919,169.281,168.463,167.404,169.137,168.305,1.793,164.539,10.36
MS10d,182.926,0,196.252,190.120,199.435,192.957,196.373,205.516,193.744,196.383,194.319,194.733,195.983,4.164,190.120,7.14
MS11d,102.346,0,111.068,111.068,113.092,111.068,114.228,113.684,111.068,111.068,113.092,111.068,112.050,1.307,111.068,9.48
MS12d,78.903,0,80.190,80.190,80.190,88.475,80.190,81.299,80.190,80.190,88.475,80.077,81.946,3.459,80.077,3.86
MS13d,120.688,0,142.649,134.022,141.639,144.328,143.155,139.962,138.898,141.992,145.940,143.299,141.588,3.337,134.022,17.32
MS14d,134.613,0,148.878,143.074,148.878,148.878,148.878,148.878,148.878,143.074,148.878,148.878,147.717,2.447,143.074,9.73
MS15d,96.524,0,121.075,121.075,120.812,117.562,115.526,120.812,121.075,118.580,121.075,120.460,119.805,1.936,115.526,24.12
MS16d,101.680,0,125.692,124.128,124.586,124.088,122.743,124.439,123.060,124.977,118.819,123.594,123.613,1.896,118.819,21.57
MS17d,248.588,0,264.755,271.669,269.694,274.369,269.218,274.127,270.206,266.634,272.855,272.968,270.649,3.184,264.755,8.87
MS18d,390.160,0,455.680,458.408,454.046,454.011,456.962,439.514,453.144,443.130,458.087,455.340,452.832,6.365,439.514,16.06
MS19d,3653657.000,0,405.769,401.683,395.552,398.299,397.901,400.171,395.387,398.202,404.112,402.043,399.912,3.476,395.387,-99.99
MS20d,3339.920,0,350.050,354.751,363.700,340.622,356.131,349.954,359.440,354.506,355.169,355.447,353.977,6.177,340.622,-89.40
MS21d,259.140,0,272.694,266.978,266.978,267.479,266.978,273.354,266.978,266.978,275.587,279.255,270.326,4.550,266.978,4.32
MS22d,400.600,0,420.537,420.537,420.537,420.537,419.622,412.212,426.621,426.621,420.537,420.537,420.830,3.990,412.212,5.05
MS23d,374.970,0,387.777,387.777,387.777,387.777,387.777,387.777,387.777,387.777,387.777,387.777,387.777,0.000,387.777,3.42
MS24d,204.000,0,235.651,235.651,235.651,235.651,235.651,234.041,235.651,235.651,232.785,235.651,235.203,0.989,232.785,15.30
MS25d,272.610,0,251.825,248.384,251.825,251.825,248.384,251.825,248.440,253.773,253.773,253.178,251.323,2.161,248.384,-7.81
MS26d,364.560,0,390.781,391.311,392.659,389.800,391.329,388.415,384.430,395.010,378.290,389.118,389.114,4.713,378.290,6.74
MS27d,290.370,0,350.635,359.664,369.024,356.202,353.560,357.832,360.760,356.532,356.795,362.054,358.306,5.036,350.635,23.40
MS28d,354.310,0,400.763,407.961,402.347,398.885,408.521,405.289,404.166,396.586,406.304,402.364,403.319,3.880,396.586,13.83
MS29d,364.010,0,418.074,423.548,408.215,410.921,426.502,416.825,415.409,407.659,409.469,404.129,414.075,7.266,404.129,13.75
MS30d,140.340,0,173.834,173.855,177.319,180.518,175.127,180.117,176.792,178.491,182.060,179.980,177.809,2.902,173.834,26.70
MS31d,112.520,0,130.227,124.646,127.771,127.568,124.700,126.900,124.067,124.090,126.869,130.599,126.744,2.393,124.067,12.64
MS32d,98.450,0,101.339,101.339,101.339,101.339,101.339,101.339,101.339,101.339,101.339,101.339,101.339,0.000,101.339,2.93
MS33d,97.560,0,99.131,99.131,99.131,99.131,99.131,99.131,99.131,99.131,99.131,99.131,99.131,0.000,99.131,1.61
MS34d,84.640,0,105.649,103.738,101.740,105.649,102.907,103.678,103.678,105.649,105.649,105.649,104.399,1.437,101.740,23.34
MS35d,107.860,0,120.952,116.989,119.247,119.108,119.875,118.093,120.013,122.769,117.123,115.481,118.965,2.125,115.481,10.30
MS36d,153.270,0,159.870,157.282,160.144,161.107,158.671,159.320,155.080,160.271,162.201,155.789,158.974,2.290,155.080,3.72
MS37d,151.190,0,149.770,149.525,150.501,146.640,149.803,149.885,149.421,145.702,147.220,145.702,148.417,1.880,145.702,-1.83
MS38d,155.460,0,178.702,176.997,173.309,175.347,174.408,180.730,176.270,173.075,179.047,174.731,176.262,2.576,173.075,13.38
MS39d,209.850,0,226.473,226.902,221.274,221.757,223.956,224.723,224.723,224.727,227.175,226.546,224.826,2.063,221.274,7.14
MS40d,243.470,0,261.017,261.369,267.033,259.529,275.916,256.876,253.618,263.554,268.194,272.638,263.974,6.976,253.618,8.42
MS41d,255.270,0,284.931,281.085,286.493,275.682,285.752,280.458,285.120,281.930,284.509,281.909,282.787,3.263,275.682,10.78
MS42d,357.170,0,390.106,384.843,390.020,374.414,394.103,390.578,391.784,389.681,381.569,377.449,386.455,6.607,374.414,8.20
MS43d,375.160,0,397.161,406.188,405.464,399.272,398.745,399.025,406.539,398.989,404.138,401.361,401.688,3.551,397.161,7.07
MS1d,170.909,15,170.908,170.908,170.908,170.908,170.908,170.908,170.908,170.908,170.908,170.908,170.908,0.000,170.908,-0.00
MS2d,130.800,15,129.837,130.462,134.362,131.332,131.436,133.699,129.842,134.783,128.937,132.080,131.677,2.028,128.937,0.67
MS3d,238.973,15,233.064,235.616,234.498,232.296,239.292,235.904,233.411,233.355,239.976,235.415,235.283,2.588,232.296,-1.54
MS4d,479.676,15,464.056,503.238,473.551,466.130,467.890,482.930,475.277,500.256,462.584,470.738,476.665,14.506,462.584,-0.63
MS5d,315.889,15,312.833,303.574,308.586,305.123,303.798,302.061,307.384,311.153,315.470,308.809,307.879,4.361,302.061,-2.54
MS6d,82.187,15,82.187,82.187,82.187,82.187,82.187,82.187,82.187,82.187,82.187,82.187,82.187,0.000,82.187,-0.00
MS7d,189.016,15,189.017,189.017,189.017,189.017,189.017,189.017,189.017,189.017,189.017,189.017,189.017,0.000,189.017,0.00
MS8d,217.383,15,213.166,207.085,212.614,210.542,210.299,212.260,214.660,211.429,213.554,211.172,211.678,2.120,207.085,-2.62
MS9d,152.504,15,147.206,147.038,149.469,148.980,151.458,147.546,148.990,151.038,151.612,150.797,149.413,1.762,147.038,-2.03
MS10d,182.926,15,181.382,181.382,181.382,181.931,181.382,181.382,181.382,181.382,181.382,181.931,181.492,0.231,181.382,-0.78
MS11d,102.346,15,102.346,102.346,102.346,103.575,102.346,102.346,102.346,103.075,102.346,102.346,102.542,0.429,102.346,0.19
MS12d,78.903,15,73.805,72.921,72.921,74.586,75.265,73.805,73.805,74.255,73.805,74.586,73.975,0.732,72.921,-6.25
MS13d,120.688,15,121.480,121.480,120.067,118.715,118.135,120.914,118.135,120.332,121.761,119.054,120.007,1.412,118.135,-0.56
MS14d,134.613,15,130.325,126.875,130.898,131.055,131.441,128.659,131.895,127.977,132.532,128.233,129.989,1.911,126.875,-3.44
MS15d,96.524,15,100.452,96.236,98.149,92.631,95.975,96.010,96.236,96.010,95.924,96.236,96.386,1.957,92.631,-0.14
MS16d,101.680,15,105.467,107.388,110.396,105.759,104.676,105.000,107.034,101.729,109.582,102.886,105.992,2.712,101.729,4.24
MS17d,248.588,15,250.706,243.272,252.339,250.851,252.157,250.624,248.634,244.360,247.493,247.225,248.766,3.152,243.272,0.07
MS18d,390.160,15,422.290,400.180,401.230,405.900,425.714,399.667,403.492,401.553,401.129,398.977,406.013,9.717,398.977,4.06
MS19d,3653657.000,15,356.444,355.691,360.848,356.444,363.133,349.631,363.113,364.577,360.040,355.668,358.559,4.601,349.631,-99.99
MS20d,3339.920,15,333.599,330.221,336.350,325.712,336.002,327.443,337.441,329.546,334.176,330.105,332.059,4.012,325.712,-90.06
MS21d,259.140,15,249.156,252.207,253.891,253.917,251.169,251.150,251.624,255.055,247.215,249.510,251.489,2.421,247.215,-2.95
MS22d,400.600,15,396.041,395.281,395.152,397.181,398.001,394.532,397.377,396.415,397.134,395.912,396.303,1.117,394.532,-1.07
MS23d,374.970,15,363.504,363.504,363.504,363.504,363.504,366.347,369.054,363.504,366.347,364.455,364.723,1.915,363.504,-2.73
MS24d,204.000,15,206.786,204.509,203.643,201.731,203.099,200.945,207.731,200.500,205.158,207.033,204.113,2.582,200.500,0.06
MS25d,272.610,15,239.348,237.774,235.243,235.487,238.861,238.980,236.883,241.875,238.447,236.673,237.957,1.991,235.243,-12.71
MS26d,364.560,15,355.989,357.710,360.528,359.547,355.360,356.279,355.767,361.874,349.880,352.491,356.543,3.619,349.880,-2.20
MS27d,290.370,15,302.835,294.363,301.134,306.085,295.199,307.316,307.705,300.230,306.607,304.246,302.572,4.826,294.363,4.20
MS28d,354.310,15,367.308,370.105,368.852,364.617,367.804,369.171,365.802,372.186,369.818,368.678,368.434,2.179,364.617,3.99
MS29d,364.010,15,365.670,364.757,368.027,370.975,366.767,366.443,368.772,366.216,369.745,370.188,367.756,2.102,364.757,1.03
MS30d,140.340,15,143.024,138.891,140.315,142.984,135.933,144.294,144.869,142.127,142.700,140.735,141.587,2.692,135.933,0.89
MS31d,112.520,15,110.716,112.785,110.637,111.649,110.129,112.771,112.588,111.685,109.793,111.473,111.423,1.085,109.793,-0.98
MS32d,98.450,15,96.636,96.260,97.015,96.260,97.015,97.015,96.260,96.260,97.015,96.260,96.599,0.375,96.260,-1.88
MS33d,97.560,15,92.820,92.820,92.820,92.820,92.820,92.820,92.820,92.820,92.820,92.820,92.820,0.000,92.820,-4.86
MS34d,84.640,15,88.972,85.313,87.175,88.997,89.607,87.560,86.112,84.222,90.457,84.117,87.253,2.260,84.117,3.09
MS35d,107.860,15,104.224,112.437,114.022,140.868,114.765,114.022,107.968,114.845,115.028,140.868,117.905,12.597,104.224,9.31
MS36d,153.270,15,141.056,144.228,142.673,141.551,141.426,142.379,145.622,145.083,148.633,145.406,143.806,2.417,141.056,-6.17
MS37d,151.190,15,136.943,136.671,135.531,136.943,137.411,136.943,136.943,138.615,132.937,137.411,136.635,1.506,132.937,-9.63
MS38d,155.460,15,151.810,152.952,152.453,152.787,151.171,151.162,150.469,152.827,152.557,151.765,151.995,0.853,150.469,-2.23
MS39d,209.850,15,204.710,204.638,205.836,208.366,208.860,210.515,208.351,205.947,206.196,210.162,207.358,2.164,204.638,-1.19
MS40d,243.470,15,238.880,241.953,238.242,238.083,235.961,235.961,238.836,238.730,244.862,239.162,239.067,2.647,235.961,-1.81
MS41d,255.270,15,263.299,264.814,258.632,259.648,262.508,260.077,261.922,255.173,267.837,257.681,261.159,3.692,255.173,2.31
MS42d,357.170,15,348.145,343.397,347.933,349.787,349.557,346.846,350.344,347.511,348.025,349.405,348.095,1.994,343.397,-2.54
MS43d,375.160,15,362.231,360.486,358.492,357.527,363.545,365.733,358.708,365.005,359.997,358.576,361.030,2.928,357.527,-3.77
MS1d,170.909,30,170.908,170.908,170.908,170.908,170.908,170.908,170.908,170.908,170.908,170.908,170.908,0.000,170.908,-0.00
MS2d,130.800,30,128.613,130.462,131.873,129.809,131.436,130.447,128.613,134.783,126.747,132.080,130.486,2.243,126.747,-0.24
MS3d,238.973,30,233.064,235.209,234.498,232.296,238.463,233.355,233.411,233.355,233.411,235.415,234.248,1.774,232.296,-1.98
MS4d,479.676,30,463.247,477.980,456.101,464.922,454.277,475.142,472.448,469.347,455.677,461.910,465.105,8.428,454.277,-3.04
MS5d,315.889,30,310.278,302.061,305.103,305.080,302.061,302.027,302.027,311.101,315.470,302.627,305.783,4.821,302.027,-3.20
MS6d,82.187,30,82.187,82.187,82.187,82.187,82.187,82.187,82.187,82.187,82.187,82.187,82.187,0.000,82.187,-0.00
MS7d,189.016,30,189.017,189.017,189.017,189.017,189.017,189.017,189.017,189.017,189.017,189.017,189.017,0.000,189.017,0.00
MS8d,217.383,30,212.743,210.396,210.915,209.380,209.449,212.078,207.671,211.170,207.671,210.597,210.207,1.689,207.671,-3.30
MS9d,152.504,30,149.521,146.625,145.589,148.278,149.480,146.289,148.637,150.007,149.958,145.763,148.015,1.779,145.589,-2.94
MS10d,182.926,30,181.382,181.382,181.382,181.382,181.382,181.382,181.382,181.382,181.382,181.931,181.437,0.174,181.382,-0.81
MS11d,102.346,30,102.346,102.346,102.346,103.075,102.346,102.346,102.346,103.075,102.346,102.346,102.492,0.307,102.346,0.14
MS12d,78.903,30,73.805,72.921,72.921,74.586,74.827,73.805,73.805,74.606,73.805,73.805,73.888,0.649,72.921,-6.36
MS13d,120.688,30,118.566,120.550,119.286,117.699,118.135,120.914,118.135,120.332,121.761,119.054,119.443,1.373,117.699,-1.03
MS14d,134.613,30,129.721,126.651,130.898,131.055,131.441,126.318,131.137,127.401,130.660,128.315,129.360,2.002,126.318,-3.90
MS15d,96.524,30,98.313,96.236,97.368,91.644,95.975,96.010,95.230,94.446,95.924,96.236,95.738,1.784,91.644,-0.81
MS16d,101.680,30,105.293,105.212,109.560,104.263,104.395,103.621,106.832,100.955,107.487,102.713,105.033,2.469,100.955,3.30
MS17d,248.588,30,244.430,243.896,244.409,252.937,245.288,250.991,246.805,246.369,244.154,246.517,246.580,3.056,243.896,-0.81
MS18d,390.160,30,394.468,399.253,397.696,398.149,397.909,401.307,401.309,403.525,395.660,397.632,398.691,2.737,394.468,2.19
MS19d,3653657.000,30,355.527,355.640,353.947,348.503,346.105,352.538,355.529,358.509,357.630,353.937,353.787,3.874,346.105,-99.99
MS20d,3339.920,30,324.621,327.248,325.680,324.763,326.531,322.531,323.457,328.778,326.073,329.689,325.937,2.240,322.531,-90.24
MS21d,259.140,30,248.763,252.207,253.247,253.783,248.813,250.429,251.500,254.496,247.215,249.510,250.996,2.435,247.215,-3.14
MS22d,400.600,30,394.749,395.281,395.152,397.181,394.456,394.421,397.377,394.736,397.134,395.912,395.640,1.182,394.421,-1.24
MS23d,374.970,30,363.504,363.504,363.504,363.504,363.504,364.523,366.347,363.504,366.347,363.504,364.174,1.188,363.504,-2.88
MS24d,204.000,30,202.323,204.353,203.118,200.180,203.099,199.317,205.926,200.500,202.682,205.541,202.704,2.219,199.317,-0.64
MS25d,272.610,30,235.788,237.774,234.991,233.487,237.923,237.383,235.929,241.875,238.447,231.817,236.541,2.813,231.817,-13.23
