实例,ma_init_s,our_init_s,慢倍数,our_max_s
MS1d,0.011,0.112,11,0.13
MS2d,0.026,0.183,7,0.20
MS3d,0.035,0.327,9,0.41
MS4d,0.144,3.968,28,4.12
MS5d,0.060,1.571,26,1.68
MS6d,0.071,1.726,24,1.78
MS7d,0.012,0.109,9,0.14
MS8d,0.037,2.122,57,3.26
MS9d,0.087,2.824,32,3.05
MS10d,0.016,1.584,102,2.05
MS11d,0.018,0.184,10,0.23
MS12d,0.019,0.129,7,0.16
MS13d,0.022,0.199,9,0.33
MS14d,0.029,0.158,6,0.18
MS15d,0.024,0.146,6,0.17
MS16d,0.101,0.889,9,0.96
MS17d,0.118,3.880,33,4.12
MS18d,0.165,5.724,35,6.13
MS19d,0.135,6.930,51,7.13
MS20d,0.190,7.852,41,8.15
MS21d,0.046,0.997,21,1.04
MS22d,0.071,2.221,31,2.33
MS23d,0.058,1.305,22,1.36
MS24d,0.093,2.063,22,2.15
MS25d,0.061,1.196,20,1.29
MS26d,0.108,2.443,23,2.61
MS27d,0.081,2.036,25,2.25
MS28d,0.208,8.951,43,9.29
MS29d,0.117,4.138,35,4.26
MS30d,0.094,1.360,15,1.51
MS31d,0.033,0.428,13,0.48
MS32d,0.014,0.085,6,0.10
MS33d,0.030,2.672,88,3.31
MS34d,0.096,2.083,22,2.23
MS35d,0.023,21.935,951,32.59
MS36d,0.118,6.303,53,7.32
MS37d,0.045,4.661,103,11.55
MS38d,0.038,0.909,24,1.10
MS39d,0.064,1.535,24,1.61
MS40d,0.057,1.967,35,2.12
MS41d,0.313,7.340,23,7.65
MS42d,0.195,9.650,49,10.35
MS43d,0.149,4.523,30,4.73
