instance,BKS,time_limit,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,mean,std,best,gap%
MS1d,170.909,0,176.964,199.529,184.391,189.105,176.964,197.990,184.417,189.105,184.417,176.964,185.985,8.156,176.964,8.82
MS2d,130.800,0,169.338,167.163,183.193,177.884,172.439,156.067,164.482,168.414,160.402,152.977,167.236,9.329,152.977,27.86
MS3d,238.973,0,282.164,272.117,277.596,328.100,289.710,290.277,292.722,294.080,282.264,285.624,289.465,15.228,272.117,21.13
MS4d,479.676,0,537.845,573.841,585.144,577.937,548.384,558.178,577.823,566.267,552.710,600.177,567.831,18.814,537.845,18.38
MS5d,315.889,0,350.934,398.219,379.975,390.240,402.908,373.010,379.156,376.463,419.691,358.012,382.861,20.671,350.934,21.20
MS6d,82.187,0,110.768,175.360,166.907,190.782,166.056,173.255,161.204,241.403,156.040,162.320,170.410,32.374,110.768,107.34
MS7d,189.016,0,191.420,216.510,191.420,189.632,192.650,208.199,210.180,204.992,201.951,201.979,200.893,9.291,189.632,6.28
MS8d,217.383,0,272.879,270.278,236.856,280.500,258.725,298.915,272.527,285.322,265.365,258.989,270.036,16.879,236.856,24.22
MS9d,152.504,0,170.287,191.183,193.747,181.338,172.417,180.039,193.329,174.293,195.731,183.699,183.606,9.481,170.287,20.39
MS10d,182.926,0,241.588,233.199,210.455,224.509,189.864,234.520,232.450,208.268,194.322,207.767,217.694,18.010,189.864,19.01
MS11d,102.346,0,130.417,158.526,153.951,128.033,151.574,142.755,137.795,133.657,152.545,172.277,146.153,14.064,128.033,42.80
MS12d,78.903,0,103.701,135.212,122.529,104.734,123.001,104.657,101.815,105.060,111.636,97.935,111.028,11.957,97.935,40.71
MS13d,120.688,0,166.242,155.083,175.971,185.375,179.692,174.788,165.361,150.068,179.310,168.143,170.003,11.227,150.068,40.86
MS14d,134.613,0,177.306,173.452,161.111,177.678,197.144,165.271,166.737,166.821,174.048,164.415,172.398,10.399,161.111,28.07
MS15d,96.524,0,145.344,146.104,124.589,131.222,137.529,169.618,145.987,114.168,132.398,137.618,138.458,14.931,114.168,43.44
MS16d,101.680,0,159.758,139.670,152.620,137.148,130.255,150.875,131.071,148.861,142.570,146.174,143.900,9.557,130.255,41.52
MS17d,248.588,0,285.995,284.226,290.064,309.891,286.357,301.092,301.416,323.406,299.806,311.494,299.375,12.940,284.226,20.43
MS18d,390.160,0,480.957,477.123,489.301,488.669,485.906,461.580,465.173,501.785,485.765,490.237,482.650,12.052,461.580,23.71
MS19d,3653657.000,0,436.067,400.885,437.815,429.509,437.669,411.949,430.327,431.895,477.296,432.673,432.608,19.749,400.885,-99.99
MS20d,3339.920,0,405.914,434.412,391.573,392.315,392.583,393.024,382.365,393.291,370.797,401.842,395.812,16.632,370.797,-88.15
MS21d,259.140,0,316.433,318.726,298.676,324.512,325.213,306.530,306.127,314.273,306.142,304.694,312.133,9.010,298.676,20.45
MS22d,400.600,0,488.530,483.972,466.745,485.745,469.541,486.030,468.291,497.985,473.400,474.533,479.477,10.404,466.745,19.69
MS23d,374.970,0,439.480,480.640,453.065,446.791,481.972,464.615,421.471,454.829,466.239,473.129,458.223,19.046,421.471,22.20
