config,instance,seed,obj_t0_checkpoint,obj_t15,obj_t30,obj_t60
no_restart,MS10d,1,185.452499,181.381813,181.381813,181.382
no_restart,MS10d,10,186.606888,182.156343,181.381813,181.382
no_restart,MS10d,2,182.96915,181.381813,181.381813,181.382
no_restart,MS10d,3,184.018392,181.381813,181.381813,181.382
no_restart,MS10d,4,185.452499,181.381813,181.381813,181.382
no_restart,MS10d,5,182.156343,181.381813,181.381813,181.382
no_restart,MS10d,6,184.018392,181.381813,181.381813,181.382
no_restart,MS10d,7,186.576024,182.156343,182.156343,182.156
no_restart,MS10d,8,184.162356,181.381813,181.381813,181.382
no_restart,MS10d,9,186.854214,182.156343,181.381813,181.382
no_restart,MS11d,1,111.067548,102.345641,102.345641,102.346
no_restart,MS11d,10,111.067548,102.345641,102.345641,102.346
no_restart,MS11d,2,111.067548,102.345641,102.345641,102.346
no_restart,MS11d,3,111.067548,102.345641,102.345641,102.346
no_restart,MS11d,4,109.937759,103.971579,103.971579,102.346
no_restart,MS11d,5,111.067548,102.345641,102.345641,102.346
no_restart,MS11d,6,111.021542,102.885106,102.345641,102.346
no_restart,MS11d,7,110.45248,102.345641,102.345641,102.346
no_restart,MS11d,8,109.017018,102.345641,102.345641,102.346
no_restart,MS11d,9,111.067548,102.345641,102.345641,102.346
no_restart,MS12d,1,78.902628,73.804773,73.804773,73.8048
no_restart,MS12d,10,77.71981,75.766413,73.804773,73.8048
no_restart,MS12d,2,82.765748,73.804773,73.804773,72.921
no_restart,MS12d,3,81.205831,74.255243,74.255243,73.8048
no_restart,MS12d,4,78.902628,73.804773,73.804773,73.8048
no_restart,MS12d,5,80.334144,75.264952,75.264952,75.265
no_restart,MS12d,6,78.919106,72.920989,72.920989,72.921
no_restart,MS12d,7,81.205831,74.555347,74.555347,74.5553
no_restart,MS12d,8,77.731065,76.806832,76.806832,74.9882
no_restart,MS12d,9,82.383706,74.616608,74.616608,74.6166
no_restart,MS13d,1,134.671393,119.154898,119.154898,119.05
no_restart,MS13d,10,130.822558,119.765903,118.836982,118.135
no_restart,MS13d,2,133.652724,121.479582,121.479582,121.48
no_restart,MS13d,3,125.185996,119.53381,118.836982,118.566
no_restart,MS13d,4,125.185996,118.021543,117.938344,117.938
no_restart,MS13d,5,126.384969,118.134781,118.134781,118.135
no_restart,MS13d,6,133.113806,118.715189,117.883017,117.883
no_restart,MS13d,7,133.355395,119.495039,119.495039,119.495
