weight,instance,seed,obj_t0_checkpoint,obj_t15,obj_t30,obj_t60
w0.00,MS10d,1,185.594382,181.381813,181.381813,181.382
w0.00,MS10d,10,184.433504,181.381813,181.381813,181.382
w0.00,MS10d,2,184.018392,181.381813,181.381813,181.382
w0.00,MS10d,3,186.362204,181.930908,181.930908,181.382
w0.00,MS10d,4,184.162356,181.381813,181.381813,181.382
w0.00,MS10d,5,183.459697,182.156343,181.381813,181.382
w0.00,MS10d,6,183.459697,181.381813,181.381813,181.382
w0.00,MS10d,7,186.854214,181.381813,181.381813,181.382
w0.00,MS10d,8,185.452499,181.381813,181.381813,181.382
w0.00,MS10d,9,186.854214,181.381813,181.381813,181.382
w0.00,MS11d,1,111.067548,102.977486,102.977486,102.977
w0.00,MS11d,10,111.067548,102.345641,102.345641,102.346
w0.00,MS11d,2,111.067548,102.977486,102.345641,102.346
w0.00,MS11d,3,105.688478,102.345641,102.345641,102.346
w0.00,MS11d,4,111.067548,102.345641,102.345641,102.346
w0.00,MS11d,5,111.067548,102.977486,102.345641,102.346
w0.00,MS11d,6,111.067548,102.345641,102.345641,102.346
w0.00,MS11d,7,107.062874,102.345641,102.345641,102.346
w0.00,MS11d,8,108.634592,102.345641,102.345641,102.346
w0.00,MS11d,9,110.042984,103.520657,102.358927,102.346
w0.00,MS12d,1,81.205831,73.804773,73.804773,73.8048
w0.00,MS12d,10,81.205831,73.804773,72.920989,72.921
w0.00,MS12d,2,82.018723,73.804773,73.804773,73.8048
w0.00,MS12d,3,81.205831,72.920989,72.920989,72.921
w0.00,MS12d,4,76.668509,73.804773,73.804773,73.8048
w0.00,MS12d,5,81.205831,72.920989,72.920989,72.921
w0.00,MS12d,6,77.444589,73.804773,73.804773,73.8048
w0.00,MS12d,7,78.902628,73.804773,73.804773,73.8048
w0.00,MS12d,8,76.994255,75.241057,74.585679,73.8048
w0.00,MS12d,9,80.334144,73.804773,73.804773,73.8048
w0.00,MS13d,1,125.185996,118.480108,117.883017,117.883
w0.00,MS13d,10,130.822558,118.715189,118.715189,118.715
w0.00,MS13d,2,133.877582,121.859251,117.883017,117.883
w0.00,MS13d,3,127.907358,119.81247,119.81247,119.812
w0.00,MS13d,4,130.056802,118.836982,118.836982,118.837
w0.00,MS13d,5,130.068863,121.788475,121.788475,121.786
w0.00,MS13d,6,130.642837,118.134781,118.134781,118.135
w0.00,MS13d,7,133.536333,119.057028,119.057028,118.837
w0.00,MS13d,8,126.161391,121.479582,121.479582,121.48
w0.00,MS13d,9,130.302372,118.748662,118.513734,118.514
w0.00,MS14d,1,138.581829,129.789522,128.098253,126.418
w0.00,MS14d,10,133.182902,127.891763,127.891763,127.024
w0.00,MS14d,2,138.581829,131.055177,129.877177,129.877
w0.00,MS14d,3,138.581829,131.545342,129.877177,129.293
w0.00,MS14d,4,138.581829,128.02696,128.02696,128.027
w0.00,MS14d,5,138.581829,133.879363,131.565131,130.396
w0.00,MS14d,6,135.313011,127.241815,127.241815,127.242
w0.00,MS14d,7,138.581829,127.45914,127.199485,127.199
w0.00,MS14d,8,137.184116,126.592548,126.592548,126.424
w0.00,MS14d,9,138.581829,130.660017,130.660017,130.66
w0.00,MS15d,1,104.117898,96.010538,95.996322,95.9963
w0.00,MS15d,10,109.601923,95.63462,95.444266,94.2901
w0.00,MS15d,2,99.7447,96.010538,96.010538,95.204
w0.00,MS15d,3,100.948693,94.863124,93.985398,92.7228
w0.00,MS15d,4,104.123158,96.235748,96.235748,96.2357
w0.00,MS15d,5,107.021974,96.235748,96.010538,96.0105
w0.00,MS15d,6,105.2801,94.118038,94.118038,94.118
w0.00,MS15d,7,100.948693,96.235748,96.010538,96.0105
w0.00,MS15d,8,109.528019,96.235748,96.010538,95.9819
w0.00,MS15d,9,104.062508,96.235748,96.235748,96.2357
w0.00,MS16d,1,114.925398,108.109642,104.901187,104.901
w0.00,MS16d,10,111.57215,107.459356,105.200739,105.201
w0.00,MS16d,2,115.127983,106.858138,105.798393,105.798
w0.00,MS16d,3,112.700058,105.993338,105.993338,105.993
w0.00,MS16d,4,111.209192,102.606953,102.357645,102.358
w0.00,MS16d,5,112.894409,106.143603,104.952246,104.453
