instance,time_limit,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,mean,std,best
p01d,0,84.404,84.404,84.404,84.404,84.404,84.404,84.404,84.404,84.404,84.404,84.404,0.000,84.404
p01d,15,84.404,84.404,84.404,84.404,84.404,84.404,84.404,84.404,84.404,84.404,84.404,0.000,84.404
p01d,30,84.404,84.404,84.404,84.404,84.404,84.404,84.404,84.404,84.404,84.404,84.404,0.000,84.404
p01d,60,84.404,84.404,84.404,84.404,84.404,84.404,84.404,84.404,84.404,84.404,84.404,0.000,84.404
p02d,0,84.404,84.741,84.406,84.741,84.404,84.738,84.741,84.441,84.741,84.741,84.610,0.160,84.404
p02d,15,84.404,84.404,84.404,84.404,84.404,84.404,90.015,84.404,84.404,84.404,84.965,1.683,84.404
p02d,30,84.404,84.404,84.404,84.404,84.404,84.404,84.404,84.404,84.404,84.404,84.404,0.000,84.404
p02d,60,84.404,84.404,84.404,84.404,84.404,84.404,84.404,84.404,84.404,84.404,84.404,0.000,84.404
p03d,0,92.092,94.881,86.325,88.784,91.550,89.181,89.271,86.994,89.181,90.950,89.921,2.394,86.325
p03d,15,96.519,96.519,96.519,106.571,96.519,96.519,96.519,95.045,95.045,96.519,97.230,3.168,95.045
p03d,30,84.831,84.831,84.831,84.831,92.654,94.868,84.831,96.519,84.831,84.831,87.786,4.596,84.831
p03d,60,84.831,84.831,84.831,84.831,84.831,84.831,84.831,84.831,84.831,84.831,84.831,0.000,84.831
p04d,0,89.421,88.567,89.423,89.423,89.423,87.864,89.423,90.015,89.423,89.423,89.240,0.564,87.864
p04d,15,89.423,87.864,87.864,87.864,89.423,87.864,87.864,87.864,87.864,89.423,88.331,0.714,87.864
p04d,30,87.864,87.864,87.864,87.864,87.864,87.864,87.864,87.864,87.864,87.864,87.864,0.000,87.864
p04d,60,87.864,87.864,87.864,87.864,87.864,87.864,87.864,87.864,87.864,87.864,87.864,0.000,87.864
p05d,0,137.015,138.084,143.027,138.084,137.015,138.084,136.203,137.015,141.579,140.139,138.624,2.119,136.203
p05d,15,126.338,127.735,123.980,127.055,126.806,126.806,123.980,127.626,125.686,127.766,126.378,1.347,123.980
p05d,30,126.338,123.354,123.980,127.055,124.616,126.485,123.354,124.158,125.686,123.980,124.901,1.302,123.354
p05d,60,123.420,123.354,123.980,126.259,124.616,126.485,123.354,123.980,125.359,123.980,124.479,1.113,123.354
p06d,0,82.219,82.219,82.219,82.219,82.219,82.219,82.219,82.219,82.219,82.219,82.219,0.000,82.219
p06d,15,82.219,82.219,82.219,82.219,82.219,82.219,82.589,82.219,82.219,82.219,82.256,0.111,82.219
p06d,30,82.219,82.219,82.219,82.219,82.219,82.219,82.219,82.219,82.219,82.219,82.219,0.000,82.219
p06d,60,82.219,82.219,82.219,82.219,82.219,82.219,82.219,82.219,82.219,82.219,82.219,0.000,82.219
p07d,0,57.858,57.858,54.616,58.487,57.823,59.267,58.109,56.788,58.309,58.269,57.738,1.197,54.616
p07d,15,52.345,55.317,55.317,55.810,57.067,53.486,55.164,56.788,57.858,58.389,55.754,1.779,52.345
p07d,30,55.164,52.352,60.552,54.299,54.559,52.359,55.164,55.303,55.164,55.317,55.023,2.139,52.352
p07d,60,52.359,52.359,52.785,53.486,52.359,52.359,52.345,52.345,54.040,54.658,52.910,0.808,52.345
p08d,0,307.600,337.094,342.730,336.161,330.331,338.317,335.683,337.818,329.365,330.275,332.537,9.224,307.600
p08d,15,295.342,298.818,295.290,297.533,298.238,299.259,301.201,296.894,300.773,298.383,298.173,1.896,295.290
p08d,30,295.342,298.818,295.290,297.533,298.238,299.259,299.266,296.894,300.371,298.598,297.961,1.604,295.290
p08d,60,295.290,295.290,295.290,297.533,297.519,295.290,295.290,296.894,300.371,295.290,296.406,1.611,295.290
p09d,0,185.776,187.716,188.794,186.458,187.290,183.513,180.152,187.228,176.790,177.961,184.168,4.129,176.790
p09d,15,152.778,150.853,151.622,152.827,150.718,151.512,150.718,152.003,149.965,150.509,151.350,0.918,149.965
p09d,30,152.778,150.853,150.314,152.003,150.718,149.390,150.718,151.719,149.637,149.053,150.718,1.131,149.053
p09d,60,148.927,150.853,147.039,152.003,150.718,149.332,150.718,151.719,149.621,149.053,149.998,1.419,147.039
p10d,0,125.621,120.418,124.288,115.917,122.780,124.749,121.166,124.503,122.295,121.270,122.301,2.696,115.917
p10d,15,110.223,119.772,128.987,119.772,121.197,117.454,100.764,112.250,118.623,114.125,116.317,7.178,100.764
p10d,30,99.284,106.836,109.301,97.488,104.936,105.205,98.569,101.047,99.368,106.644,102.868,3.962,97.488
p10d,60,95.542,97.081,94.382,109.387,97.381,95.290,96.689,96.886,97.813,95.852,97.630,4.045,94.382
p11d,0,89.828,89.473,91.075,89.350,84.119,90.919,84.983,87.932,90.830,86.936,88.545,2.359,84.119
p11d,15,101.165,78.917,92.231,96.074,90.674,96.074,92.231,89.833,80.791,80.952,89.894,7.059,78.917
p11d,30,80.584,74.523,73.670,81.353,72.245,84.032,80.974,82.069,84.463,77.205,79.112,4.168,72.245
p11d,60,81.094,73.060,73.177,73.060,81.956,73.060,73.060,83.198,83.198,74.009,76.887,4.513,73.060
p12d,0,209.460,217.195,206.268,215.355,203.755,211.908,218.159,231.307,206.268,211.290,213.097,7.600,203.755
p12d,15,194.943,194.943,194.943,194.943,194.943,194.943,194.943,194.943,194.943,194.943,194.943,0.000,194.943
p12d,30,194.943,194.943,194.943,194.943,194.943,194.943,194.943,194.943,194.943,194.943,194.943,0.000,194.943
p12d,60,194.943,194.943,194.943,194.943,194.943,194.943,194.943,194.943,194.943,194.943,194.943,0.000,194.943
p13d,0,215.911,210.824,211.645,215.911,215.863,227.542,218.867,219.957,217.528,212.985,216.703,4.576,210.824
p13d,15,197.034,197.034,197.034,197.034,197.034,197.034,197.034,197.034,197.034,197.034,197.034,0.000,197.034
p13d,30,197.034,197.034,197.034,197.034,197.034,197.034,197.034,197.034,197.034,197.034,197.034,0.000,197.034
p13d,60,197.034,197.034,197.034,197.034,197.034,197.034,197.034,197.034,197.034,197.034,197.034,0.000,197.034
p14d,0,171.251,169.992,171.640,171.251,171.251,172.128,161.140,164.025,165.123,163.287,168.109,3.990,161.140
p14d,15,144.633,144.633,144.633,144.633,144.633,144.633,144.633,144.633,144.633,144.633,144.633,0.000,144.633
p14d,30,144.633,144.633,144.633,144.633,144.633,144.633,144.633,144.633,144.633,144.633,144.633,0.000,144.633
p14d,60,144.633,144.633,144.633,144.633,144.633,144.633,144.633,144.633,144.633,144.633,144.633,0.000,144.633
p15d,0,102.774,104.774,108.653,102.105,104.402,108.148,104.484,99.999,107.415,106.763,104.952,2.668,99.999
p15d,15,90.998,91.010,90.926,91.010,90.624,90.571,91.038,91.038,90.571,91.038,90.883,0.195,90.571
p15d,30,90.998,90.305,90.710,90.457,90.624,90.571,91.038,91.038,90.571,89.847,90.616,0.351,89.847
p15d,60,90.998,89.766,90.710,90.007,90.624,90.571,90.710,89.727,90.571,89.847,90.353,0.442,89.727
p16d,0,101.940,98.659,91.769,96.437,100.943,106.762,101.660,96.135,98.518,98.710,99.153,3.834,91.769
p16d,15,103.144,103.144,92.711,102.589,98.239,102.589,95.548,94.029,97.539,100.408,98.994,3.755,92.711
p16d,30,88.634,84.686,91.766,92.711,82.206,83.566,82.421,81.321,87.257,82.313,85.688,3.952,81.321
p16d,60,81.343,82.170,84.858,82.206,81.763,83.347,81.916,81.100,85.038,81.763,82.550,1.327,81.100
p17d,0,82.844,82.249,86.251,82.666,84.331,79.388,83.482,80.701,84.268,82.543,82.872,1.824,79.388
p17d,15,95.806,82.873,88.773,82.873,77.246,78.067,78.401,82.873,77.246,82.873,82.703,5.552,77.246
p17d,30,76.317,82.873,73.033,76.966,73.033,76.317,72.883,74.252,76.317,74.280,75.627,2.836,72.883
p17d,60,73.033,73.033,74.280,70.265,74.876,72.883,72.907,73.033,73.033,76.317,73.366,1.494,70.265
p18d,0,81.384,83.926,85.193,81.506,81.229,81.153,81.229,82.019,81.229,84.682,82.355,1.515,81.153
p18d,15,90.306,79.461,90.306,89.061,90.306,80.352,90.306,90.306,86.165,90.306,87.688,4.085,79.461
p18d,30,75.181,74.929,76.577,78.435,77.865,80.487,74.089,79.443,79.084,81.267,77.736,2.331,74.089
p18d,60,72.886,75.181,72.798,72.964,73.960,72.498,75.181,72.964,75.181,74.971,73.858,1.096,72.498
p19d,0,75.465,77.513,78.223,79.954,78.732,77.022,79.023,78.785,76.433,75.465,77.662,1.464,75.465
p19d,15,79.888,73.857,79.888,74.030,79.888,73.857,79.888,79.888,79.888,73.252,77.432,3.013,73.252
p19d,30,73.896,70.818,67.724,72.665,69.362,72.928,68.717,68.836,73.064,73.857,71.187,2.242,67.724
p19d,60,67.481,68.866,67.481,67.499,67.980,76.782,67.606,67.416,75.080,68.251,69.444,3.294,67.416
p20d,0,88.258,93.066,92.722,88.994,90.883,89.318,88.707,88.105,91.844,91.960,90.385,1.820,88.105
p20d,15,84.885,82.479,88.517,98.845,84.885,92.454,87.307,92.207,84.163,85.577,88.132,4.756,82.479
p20d,30,77.008,77.551,82.683,85.911,82.955,76.785,83.773,76.545,81.495,81.517,80.622,3.209,76.545
p20d,60,76.785,75.822,75.785,85.913,75.491,76.906,74.841,75.998,89.697,89.829,79.707,5.855,74.841
p21d,0,50.038,50.233,51.088,51.342,50.518,50.417,52.167,50.617,51.139,51.645,50.920,0.640,50.038
p21d,15,54.264,56.356,56.356,56.356,56.356,54.037,56.356,54.037,54.264,54.037,55.242,1.117,54.037
p21d,30,47.707,47.191,47.424,50.897,46.819,51.369,47.424,48.099,46.691,46.691,48.031,1.612,46.691
p21d,60,51.040,46.920,51.010,48.971,51.614,46.839,50.478,46.691,48.099,52.113,49.377,2.016,46.691
p22d,0,53.004,53.452,49.392,51.273,51.831,50.519,53.229,52.992,53.364,50.598,51.965,1.378,49.392
p22d,15,51.225,55.380,57.004,51.650,52.403,51.650,49.017,52.498,52.498,58.671,53.200,2.774,49.017
p22d,30,48.083,52.856,46.884,49.481,46.691,49.690,48.132,52.568,48.678,48.775,49.184,1.988,46.691
p22d,60,47.196,47.172,46.691,51.650,52.498,46.691,50.990,46.691,46.861,46.691,48.313,2.258,46.691
p23d,0,66.188,67.231,64.188,66.188,67.658,65.034,66.188,66.188,65.098,66.188,66.015,0.973,64.188
p23d,15,63.947,65.299,64.903,65.273,64.903,65.299,64.903,65.273,61.173,60.408,64.138,1.726,60.408
p23d,30,53.495,61.776,57.670,57.019,56.665,56.977,58.769,59.255,57.471,60.408,57.950,2.160,53.495
p23d,60,54.256,59.327,54.972,54.972,53.850,53.032,54.206,61.423,55.247,57.758,55.904,2.566,53.032
