instance,time_limit,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,mean,std,best
p01d,0,90.691,84.764,99.281,94.000,112.071,84.738,114.978,94.000,93.058,93.038,96.062,9.674,84.738
p01d,15,84.404,84.404,84.404,84.404,84.404,84.404,84.404,84.404,84.404,84.404,84.404,0.000,84.404
p01d,30,84.404,84.404,84.404,84.404,84.404,84.404,84.404,84.404,84.404,84.404,84.404,0.000,84.404
p01d,60,84.404,84.404,84.404,84.404,84.404,84.404,84.404,84.404,84.404,84.404,84.404,0.000,84.404
p02d,0,90.489,84.406,93.058,84.738,84.738,115.870,95.507,93.208,94.000,94.056,93.007,8.650,84.406
p02d,15,84.404,84.404,84.404,84.404,84.404,84.404,84.404,84.404,84.404,84.404,84.404,0.000,84.404
p02d,30,84.404,84.404,84.404,84.404,84.404,84.404,84.404,84.404,84.404,84.404,84.404,0.000,84.404
p02d,60,84.404,84.404,84.404,84.404,84.404,84.404,84.404,84.404,84.404,84.404,84.404,0.000,84.404
p03d,0,97.820,109.716,109.488,101.954,103.347,96.649,96.167,106.134,96.209,90.081,100.756,6.122,90.081
p03d,15,84.119,84.119,84.580,84.119,84.119,84.580,84.831,84.580,84.831,84.119,84.400,0.294,84.119
p03d,30,84.119,84.119,84.119,84.119,84.119,84.580,84.580,84.580,84.831,84.119,84.329,0.266,84.119
p03d,60,84.119,84.119,84.119,84.119,84.119,84.119,84.580,84.580,84.119,84.119,84.211,0.185,84.119
p04d,0,89.536,89.536,95.557,89.423,92.787,132.680,90.245,89.536,90.245,94.826,95.437,12.606,89.423
p04d,15,87.864,87.864,87.864,87.864,87.864,87.864,87.864,87.864,87.864,87.864,87.864,0.000,87.864
p04d,30,87.864,87.864,87.864,87.864,87.864,87.864,87.864,87.864,87.864,87.864,87.864,0.000,87.864
p04d,60,87.864,87.864,87.864,87.864,87.864,87.864,87.864,87.864,87.864,87.864,87.864,0.000,87.864
p05d,0,131.664,158.209,134.143,165.227,136.671,152.160,144.609,150.365,139.005,149.556,146.161,10.354,131.664
p05d,15,122.778,122.778,122.778,122.778,122.778,122.778,122.778,122.778,122.778,122.778,122.778,0.000,122.778
p05d,30,122.778,122.778,122.778,122.778,122.778,122.778,122.778,122.778,122.778,122.778,122.778,0.000,122.778
p05d,60,122.778,122.778,122.778,122.778,122.778,122.778,122.778,122.778,122.778,122.778,122.778,0.000,122.778
p06d,0,82.219,82.306,92.973,87.864,92.973,82.306,82.219,82.219,90.416,87.864,86.336,4.390,82.219
p06d,15,82.219,82.219,82.219,82.219,82.219,82.219,82.219,82.219,82.219,82.219,82.219,0.000,82.219
p06d,30,82.219,82.219,82.219,82.219,82.219,82.219,82.219,82.219,82.219,82.219,82.219,0.000,82.219
p06d,60,82.219,82.219,82.219,82.219,82.219,82.219,82.219,82.219,82.219,82.219,82.219,0.000,82.219
p07d,0,58.361,80.523,76.237,113.508,57.858,58.361,59.005,112.089,65.448,63.466,74.486,20.532,57.858
